Y,Z
0.4936523438,-0.1130371094
0.4602050781,-0.1257324219
0.3940429688,-0.1164550781
0.35546875,-0.08679199218
0.3549804688,-0.05310058593
0.3752441406,-0.02990722656
0.4195556641,-0.04443359375
0.4621582031,-0.08422851562
0.4986572266,-0.1241455078
0.5427246094,-0.1636962891
0.5634765625,-0.1839599609
0.5804443359,-0.1586914063
0.6000976563,-0.06652832031
0.5598144531,0.0634765625
0.4758300781,0.1486816406
0.3992919922,0.162109375
0.3160400391,0.1489257813
0.2534179688,0.1346435547
0.2591552734,0.1033935547
0.2982177734,0.0634765625
0.3597412109,-0.00915527343
0.4049072266,-0.05310058593
0.4267578125,-0.05737304687
0.4461669922,-0.07897949218
0.4289550781,-0.08459472656
0.4295654297,-0.07983398437
0.4671630859,-0.05578613281
0.5158691406,-0.01538085937
0.5395507813,0.05065917968
0.5118408203,0.111328125
0.45703125,0.1245117188
0.3819580078,0.1220703125
0.2888183594,0.1110839844
0.2878417969,0.08447265625
0.302734375,0.01489257812
0.3205566406,-0.0439453125
0.3572998047,-0.09301757812
0.3905029297,-0.1379394531
0.4241943359,-0.1396484375
0.4759521484,-0.1193847656
0.5166015625,-0.06579589843
0.5512695313,0.01770019531
0.5560302734,0.1053466797
0.5078125,0.1357421875
0.4324951172,0.1184082031
0.3452148438,0.1157226563
0.2934570313,0.1175537109
0.2860107422,0.1148681641
0.3289794922,0.05126953125
0.3579101563,-0.02490234375
0.3518066406,-0.06372070312
0.3825683594,-0.1076660156
0.4033203125,-0.1311035156
0.4246826172,-0.1177978516
0.4729003906,-0.08081054687
0.53515625,-0.05151367187
0.5622558594,0.001953125
0.544921875,0.08361816406
0.5096435547,0.12890625
0.4372558594,0.1414794922
0.3616943359,0.1440429688
0.3197021484,0.1356201172
0.3012695313,0.1173095703
0.3247070313,0.02941894531
0.3358154297,-0.04919433593
0.3342285156,-0.09252929687
0.3612060547,-0.1552734375
0.3797607422,-0.1756591797
0.4244384766,-0.1563720703
0.4722900391,-0.1088867188
0.513671875,-0.05493164062
0.5399169922,0.02551269531
0.5181884766,0.119140625
0.4771728516,0.1533203125
0.4165039063,0.1455078125
0.3101806641,0.1290283203
0.314453125,0.08557128906
0.3150634766,-0.00708007812
0.291015625,-0.06823730468
0.3093261719,-0.1107177734
0.3359375,-0.1550292969
0.3537597656,-0.1486816406
0.416015625,-0.1141357422
0.4974365234,-0.07043457031
0.5263671875,-0.01049804687
0.5095214844,0.04895019531
0.4790039063,0.06689453125
0.4145507813,0.05993652343
0.3341064453,0.06689453125
0.2806396484,0.07788085937
0.2706298828,0.06958007812
0.2846679688,0.00012207031
0.2913818359,-0.06030273437
0.3057861328,-0.08361816406
0.3537597656,-0.1232910156
0.4022216797,-0.1337890625
0.4692382813,-0.1235351563
0.5333251953,-0.115234375
0.5532226563,-0.1219482422
0.5358886719,-0.1025390625
0.4857177734,-0.03527832031
0.42578125,0.01220703125
0.3565673828,0.03649902343
0.2901611328,0.05163574218
0.2574462891,0.03295898437
0.2550048828,-0.00463867187
0.267578125,-0.05212402343
0.3140869141,-0.091796875
0.3786621094,-0.1062011719
0.4217529297,-0.1083984375
0.4583740234,-0.09912109375
0.4913330078,-0.09191894531
0.5236816406,-0.1071777344
0.5164794922,-0.1271972656
0.4447021484,-0.09729003906
0.3862304688,-0.05297851562
0.3526611328,-0.03479003906
0.3010253906,-0.02185058593
0.2474365234,-0.01501464843
0.2727050781,-0.01416015625
0.3197021484,-0.02502441406
0.3582763672,-0.05017089843
0.3840332031,-0.07531738281
0.4090576172,-0.080078125
0.4470214844,-0.0654296875
0.4921875,-0.05700683593
0.5229492188,-0.09204101562
