y,z,time
0.3013916016,-0.0166015625,1591668360231
0.3465576172,-0.04309082031,1591668360311
0.3854980469,-0.06811523437,1591668360391
0.4035644531,-0.06384277343,1591668360471
0.4927978516,0.01611328125,1591668360551
0.5289306641,0.05871582031,1591668360631
0.5120849609,0.09704589843,1591668360711
0.4600830078,0.123046875,1591668360791
0.3924560547,0.126953125,1591668360871
0.3132324219,0.1401367188,1591668360951
0.2624511719,0.1630859375,1591668361031
0.2596435547,0.1734619141,1591668361111
0.2940673828,0.07421875,1591668361191
0.2993164063,-0.00830078125,1591668361271
0.3005371094,-0.03112792968,1591668361351
0.3529052734,-0.08374023437,1591668361431
0.3751220703,-0.08996582031,1591668361511
0.3890380859,-0.06005859375,1591668361591
0.4223632813,-0.01000976562,1591668361671
0.4750976563,0.01599121093,1591668361751
0.5128173828,0.03967285156,1591668361831
0.4776611328,0.083984375,1591668361911
0.4040527344,0.09997558593,1591668361991
0.3275146484,0.1107177734,1591668362071
0.259765625,0.1351318359,1591668362151
0.2238769531,0.1479492188,1591668362231
0.2404785156,0.1373291016,1591668362311
0.2829589844,0.06188964843,1591668362391
0.2912597656,0.00061035156,1591668362471
0.2952880859,-0.044921875,1591668362551
0.3253173828,-0.09533691406,1591668362631
0.3505859375,-0.080078125,1591668362711
0.3887939453,-0.04724121093,1591668362791
0.4349365234,-0.01721191406,1591668362871
0.4633789063,0.00427246093,1591668362951
0.46484375,0.0322265625,1591668363031
0.4301757813,0.05908203125,1591668363111
0.3660888672,0.06494140625,1591668363191
0.2854003906,0.08081054687,1591668363271
0.22265625,0.1059570313,1591668363351
0.2111816406,0.1285400391,1591668363431
0.2459716797,0.06811523437,1591668363511
0.2680664063,0.01379394531,1591668363591
0.2879638672,0.00354003906,1591668363671
0.3448486328,-0.02648925781,1591668363751
0.4217529297,-0.03698730468,1591668363831
0.4881591797,-0.046875,1591668363911
0.5510253906,-0.0224609375,1591668363991
0.5357666016,0.060546875,1591668364071
0.4555664063,0.1252441406,1591668364151
0.3646240234,0.16796875,1591668364231
0.2884521484,0.1976318359,1591668364311
0.2447509766,0.1589355469,1591668364391
0.1943359375,0.1109619141,1591668364471
0.1683349609,0.04016113281,1591668364551
0.2331542969,-0.02990722656,1591668364631
0.3403320313,-0.03881835937,1591668364711
0.4381103516,-0.04516601562,1591668364791
0.4951171875,-0.07250976562,1591668364871
0.5106201172,-0.095703125,1591668364951
0.5343017578,-0.06433105468,1591668365031
0.5466308594,0.01916503906,1591668365111
0.5147705078,0.1552734375,1591668365295
0.4282226563,0.18359375,1591668365359
0.3502197266,0.2092285156,1591668365431
0.3068847656,0.201171875,1591668365511
0.2904052734,0.1375732422,1591668365591
0.2576904297,0.02075195312,1591668365671
0.2514648438,-0.1038818359,1591668365751
0.3256835938,-0.1745605469,1591668365831
0.4144287109,-0.1669921875,1591668365911
0.4592285156,-0.1198730469,1591668365991
0.47265625,-0.0322265625,1591668366071
0.5206298828,0.1264648438,1591668366151
0.5521240234,0.3049316406,1591668366231
0.5052490234,0.412109375,1591668366311
0.4239501953,0.4508056641,1591668366391
0.3365478516,0.4534912109,1591668366471
0.2802734375,0.4091796875,1591668366551
0.2520751953,0.3083496094,1591668366631
0.1925048828,0.1794433594,1591668366711
0.1323242188,0.01684570312,1591668366791
0.1239013672,-0.1186523438,1591668366871
0.1696777344,-0.1385498047,1591668366951
0.2795410156,-0.1175537109,1591668367031
0.3995361328,-0.09411621093,1591668367111
0.4698486328,0.05444335937,1591668367191
0.4688720703,0.1492919922,1591668367271
0.4582519531,0.1623535156,1591668367351
0.3798828125,0.15234375,1591668367431
0.2912597656,0.1488037109,1591668367511
0.2364501953,0.1716308594,1591668367591
0.2432861328,0.1538085938,1591668367671
0.2672119141,0.08349609375,1591668367751
0.2584228516,0.04870605468,1591668367831
0.2686767578,-0.00573730468,1591668367911
0.2818603516,-0.076171875,1591668367991
0.2905273438,-0.08044433593,1591668368071
0.3381347656,-0.03857421875,1591668368151
0.4139404297,0.02294921875,1591668368231
0.470703125,0.07177734375,1591668368311
0.4637451172,0.1231689453,1591668368391
0.4045410156,0.1574707031,1591668368471
0.3397216797,0.1544189453,1591668368551
0.2802734375,0.16796875,1591668368631
0.244140625,0.1892089844,1591668368711
0.2397460938,0.1853027344,1591668368791
0.2489013672,0.1179199219,1591668368871
0.2667236328,0.05688476562,1591668368951
0.2965087891,-0.00158691406,1591668369031
0.3199462891,-0.06372070312,1591668369111
0.3442382813,-0.06640625,1591668369191
0.3969726563,-0.0361328125,1591668369271
0.4581298828,0.00390625,1591668369351
0.4770507813,0.06042480468,1591668369431
0.4517822266,0.1134033203,1591668369511
0.4104003906,0.1229248047,1591668369591
0.3455810547,0.1276855469,1591668369671
0.2789306641,0.1538085938,1591668369751
0.2332763672,0.1707763672,1591668369831
0.2415771484,0.1484375,1591668369911
0.2716064453,0.07983398437,1591668369991
0.2669677734,0.02734375,1591668370071
0.2783203125,-0.02575683593,1591668370151
0.2990722656,-0.07897949218,1591668370231
0.3312988281,-0.07836914062,1591668370311
0.4110107422,-0.041015625,1591668370391
0.4846191406,-0.01452636718,1591668370471
0.4583740234,0.05419921875,1591668370551
0.3939208984,0.06469726562,1591668370631
0.3031005859,0.0908203125,1591668370711
0.2327880859,0.1221923828,1591668370791
0.21484375,0.1446533203,1591668370871
0.24609375,0.1014404297,1591668370951
0.2777099609,0.03918457031,1591668371031
0.2789306641,-0.01000976562,1591668371111
0.2996826172,-0.06811523437,1591668371191
0.3555908203,-0.080078125,1591668371271
0.4449462891,-0.07250976562,1591668371351
0.5118408203,-0.02087402343,1591668371565
0.4617919922,0.03271484375,1591668371659
0.3314208984,0.04577636718,1591668371753
0.25,0.068359375,1591668371847
0.2072753906,0.09973144531,1591668371941
0.2326660156,0.09106445312,1591668372035
0.2583007813,0.05908203125,1591668372129
0.271484375,0.00744628906,1591668372223
0.3924560547,-0.06091308593,1591668372318
0.4792480469,-0.02392578125,1591668372412
0.5452880859,-0.00109863281,1591668372507
0.5617675781,-0.02197265625,1591668372601
0.5328369141,-0.03100585937,1591668372696
0.36328125,0.00939941406,1591668372792
0.2728271484,0.04235839843,1591668372887
0.1998291016,0.08081054687,1591668372982
0.18359375,0.1120605469,1591668373077
0.2309570313,0.07458496093,1591668373173
0.2836914063,0.015625,1591668373268
0.3414306641,-0.052734375,1591668373364
0.3686523438,-0.03625488281,1591668373460
0.4243164063,-0.0087890625,1591668373556
0.4897460938,-0.01550292968,1591668373652
0.4812011719,-0.00671386718,1591668373748
0.3236083984,0.05871582031,1591668373844
0.2397460938,0.09423828125,1591668373941
0.1947021484,0.1231689453,1591668374037
0.2386474609,0.08850097656,1591668374133
0.2659912109,0.04724121093,1591668374231
0.3067626953,-0.00610351562,1591668374327
0.3190917969,-0.05114746093,1591668374424
0.3571777344,-0.0458984375,1591668374521
0.4322509766,-0.02111816406,1591668374618
0.5283203125,-0.00805664062,1591668374716
0.4796142578,0.05578613281,1591668374814
