Y,Z,Time
0.4581298828,-0.2657470703,1591660982968
0.3843994141,-0.2479248047,1591660983141
0.3715820313,-0.1927490234,1591660983208
0.3469238281,-0.1270751953,1591660983288
0.3428955078,-0.05932617187,1591660983369
0.3978271484,-0.04846191406,1591660983448
0.4499511719,-0.08422851562,1591660983528
0.4375,-0.09692382812,1591660983609
0.4449462891,-0.1038818359,1591660983689
0.4494628906,-0.09399414062,1591660983768
0.4490966797,-0.06127929687,1591660983849
0.4567871094,-0.02673339843,1591660983929
0.4423828125,0.02563476562,1591660984008
0.4318847656,0.0615234375,1591660984089
0.4249267578,0.05334472656,1591660984168
0.3713378906,0.04748535156,1591660984248
0.2841796875,0.05639648437,1591660984329
0.2316894531,0.07092285156,1591660984408
0.2471923828,0.07116699218,1591660984488
0.2972412109,-0.00573730468,1591660984569
0.3096923828,-0.07360839843,1591660984649
0.3315429688,-0.1092529297,1591660984728
0.376953125,-0.1528320313,1591660984809
0.3757324219,-0.1353759766,1591660984888
0.4100341797,-0.09484863281,1591660984969
0.4991455078,-0.07702636718,1591660985049
0.4565429688,-0.04724121093,1591660985128
0.4271240234,-0.0146484375,1591660985208
0.3892822266,-0.00744628906,1591660985289
0.3200683594,0.02416992187,1591660985368
0.2707519531,0.05712890625,1591660985448
0.2506103516,0.060546875,1591660985529
0.2635498047,-0.00415039062,1591660985608
0.2739257813,-0.05578613281,1591660985688
0.2890625,-0.08093261718,1591660985769
0.3385009766,-0.1162109375,1591660985848
0.3834228516,-0.09716796875,1591660985928
0.4526367188,-0.06799316406,1591660986009
0.5245361328,-0.06567382812,1591660986088
0.5307617188,-0.0595703125,1591660986168
0.4992675781,-0.03430175781,1591660986249
0.4591064453,-0.02478027343,1591660986328
0.3942871094,-0.02575683593,1591660986408
0.3128662109,-0.00378417968,1591660986489
0.2501220703,0.02429199218,1591660986568
0.2365722656,0.03186035156,1591660986648
0.2543945313,-0.013671875,1591660986729
0.2641601563,-0.04626464843,1591660986808
0.2933349609,-0.0537109375,1591660986888
0.3486328125,-0.08178710937,1591660986969
0.3958740234,-0.08813476562,1591660987048
0.4571533203,-0.08190917968,1591660987128
0.5207519531,-0.07800292968,1591660987209
0.5242919922,-0.08044433593,1591660987288
0.4852294922,-0.05615234375,1591660987368
0.4577636719,-0.046875,1591660987449
0.4106445313,-0.05603027343,1591660987528
0.3419189453,-0.03308105468,1591660987608
0.296875,0.00134277343,1591660987689
0.2720947266,0.03967285156,1591660987768
0.2919921875,-0.0107421875,1591660987848
0.2750244141,-0.07360839843,1591660987929
0.2414550781,-0.08410644531,1591660988008
0.2895507813,-0.1115722656,1591660988088
0.3394775391,-0.1112060547,1591660988169
0.3974609375,-0.09240722656,1591660988248
0.4775390625,-0.06359863281,1591660988328
0.5617675781,-0.06127929687,1591660988409
0.5753173828,-0.08801269531,1591660988488
0.5225830078,-0.06518554687,1591660988568
0.4777832031,-0.02917480468,1591660988649
0.4185791016,-0.00463867187,1591660988728
0.3377685547,0.03442382812,1591660988808
0.2717285156,0.06091308593,1591660988889
0.2530517578,0.06384277343,1591660988968
0.267578125,-0.0693359375,1591660989048
0.3488769531,-0.1186523438,1591660989230
0.3900146484,-0.1092529297,1591660989293
0.4311523438,-0.09509277343,1591660989369
0.5122070313,-0.103515625,1591660989448
0.5480957031,-0.1076660156,1591660989528
0.4953613281,-0.0546875,1591660989609
0.4240722656,0.00305175781,1591660989688
0.3627929688,0.029296875,1591660989768
0.2958984375,0.06726074218,1591660989849
0.255859375,0.08715820312,1591660989928
0.2457275391,0.06945800781,1591660990008
0.25390625,-0.03955078125,1591660990089
0.2593994141,-0.1245117188,1591660990168
0.2687988281,-0.1256103516,1591660990248
